70002,Metairie,Louisiana ,JEFFERSON,22,051,LA 
70740,Grosse Tete,Louisiana ,IBERVILLE,22,047,LA 
70752,Lakeland,Louisiana ,POINTE COUPEE,22,077,LA 
70749,Jarreau,Louisiana ,POINTE COUPEE,22,077,LA 
70744,Holden,Louisiana ,LIVINGSTON,22,063,LA 
70753,Lettsworth,Louisiana ,POINTE COUPEE,22,077,LA 
70750,Krotz Springs,Louisiana ,SAINT LANDRY,22,097,LA 
70748,Jackson,Louisiana ,EAST FELICIANA,22,037,LA 
70743,Hester,Louisiana ,SAINT JAMES,22,093,LA 
70747,Innis,Louisiana ,POINTE COUPEE,22,077,LA 
70754,Livingston,Louisiana ,LIVINGSTON,22,063,LA 
70755,Livonia,Louisiana ,POINTE COUPEE,22,077,LA 
70761,Norwood,Louisiana ,EAST FELICIANA,22,037,LA 
70756,Lottie,Louisiana ,POINTE COUPEE,22,077,LA 
70757,Maringouin,Louisiana ,IBERVILLE,22,047,LA 
70760,New Roads,Louisiana ,POINTE COUPEE,22,077,LA 
70762,Oscar,Louisiana ,POINTE COUPEE,22,077,LA 
70759,Morganza,Louisiana ,POINTE COUPEE,22,077,LA 
70763,Paulina,Louisiana ,SAINT JAMES,22,093,LA 
70765,Plaquemine,Louisiana ,IBERVILLE,22,047,LA 
70767,Port Allen,Louisiana ,WEST BATON ROUGE,22,121,LA 
70773,Rougon,Louisiana ,POINTE COUPEE,22,077,LA 
70772,Rosedale,Louisiana ,IBERVILLE,22,047,LA 
70770,Pride,Louisiana ,EAST BATON ROUGE,22,033,LA 
70769,Prairieville,Louisiana ,ASCENSION,22,005,LA 
70774,Saint Amant,Louisiana ,ASCENSION,22,005,LA 
70764,Plaquemine,Louisiana ,IBERVILLE,22,047,LA 
70775,Saint Francisville,Louisiana ,WEST FELICIANA,22,125,LA 
70778,Sorrento,Louisiana ,ASCENSION,22,005,LA 
70780,Sunshine,Louisiana ,IBERVILLE,22,047,LA 
70783,Ventress,Louisiana ,POINTE COUPEE,22,077,LA 
70777,Slaughter,Louisiana ,EAST FELICIANA,22,037,LA 
70782,Tunica,Louisiana ,WEST FELICIANA,22,125,LA 
70784,Wakefield,Louisiana ,WEST FELICIANA,22,125,LA 
70776,Saint Gabriel,Louisiana ,IBERVILLE,22,047,LA 
70786,Watson,Louisiana ,LIVINGSTON,22,063,LA 
70789,Wilson,Louisiana ,EAST FELICIANA,22,037,LA 
70785,Walker,Louisiana ,LIVINGSTON,22,063,LA 
70788,White Castle,Louisiana ,IBERVILLE,22,047,LA 
70787,Weyanoke,Louisiana ,WEST FELICIANA,22,125,LA 
70801,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70792,Uncle Sam,Louisiana ,SAINT JAMES,22,093,LA 
70791,Zachary,Louisiana ,EAST BATON ROUGE,22,033,LA 
70802,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70803,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70807,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70808,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70809,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70804,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70805,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70806,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70810,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70811,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70812,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70816,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70817,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70815,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70813,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70814,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70818,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70819,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70820,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70825,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70821,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70822,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70823,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70826,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70831,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70827,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70833,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70835,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70836,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70837,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70873,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70874,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70891,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70879,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70884,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70892,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70894,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70895,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
71002,Ashland,Louisiana ,NATCHITOCHES,22,069,LA 
70898,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
71001,Arcadia,Louisiana ,BIENVILLE,22,013,LA 
70896,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
70893,Baton Rouge,Louisiana ,EAST BATON ROUGE,22,033,LA 
71003,Athens,Louisiana ,CLAIBORNE,22,027,LA 
71006,Benton,Louisiana ,BOSSIER,22,015,LA 
71004,Belcher,Louisiana ,CADDO,22,017,LA 
71007,Bethany,Louisiana ,CADDO,22,017,LA 
71008,Bienville,Louisiana ,BIENVILLE,22,013,LA 
71016,Castor,Louisiana ,BIENVILLE,22,013,LA 
71009,Blanchard,Louisiana ,CADDO,22,017,LA 
71019,Coushatta,Louisiana ,RED RIVER,22,081,LA 
71018,Cotton Valley,Louisiana ,WEBSTER,22,119,LA 
71021,Cullen,Louisiana ,WEBSTER,22,119,LA 
71024,Dubberly,Louisiana ,WEBSTER,22,119,LA 
71027,Frierson,Louisiana ,DE SOTO,22,031,LA 
71023,Doyline,Louisiana ,WEBSTER,22,119,LA 
71029,Gilliam,Louisiana ,CADDO,22,017,LA 
71030,Gloster,Louisiana ,DE SOTO,22,031,LA 
71028,Gibsland,Louisiana ,BIENVILLE,22,013,LA 
71031,Goldonna,Louisiana ,NATCHITOCHES,22,069,LA 
71034,Hall Summit,Louisiana ,RED RIVER,22,081,LA 
71037,Haughton,Louisiana ,BOSSIER,22,015,LA 
71032,Grand Cane,Louisiana ,DE SOTO,22,031,LA 
71033,Greenwood,Louisiana ,CADDO,22,017,LA 
71038,Haynesville,Louisiana ,CLAIBORNE,22,027,LA 
71043,Hosston,Louisiana ,CADDO,22,017,LA 
71039,Heflin,Louisiana ,WEBSTER,22,119,LA 
71040,Homer,Louisiana ,CLAIBORNE,22,027,LA 
71046,Keatchie,Louisiana ,DE SOTO,22,031,LA 
71047,Keithville,Louisiana ,CADDO,22,017,LA 
71044,Ida,Louisiana ,CADDO,22,017,LA 
71045,Jamestown,Louisiana ,BIENVILLE,22,013,LA 
71048,Lisbon,Louisiana ,CLAIBORNE,22,027,LA 
71051,Elm Grove,Louisiana ,BOSSIER,22,015,LA 
71049,Logansport,Louisiana ,DE SOTO,22,031,LA 
71050,Longstreet,Louisiana ,DE SOTO,22,031,LA 
71055,Minden,Louisiana ,WEBSTER,22,119,LA 
71060,Mooringsport,Louisiana ,CADDO,22,017,LA 
71052,Mansfield,Louisiana ,DE SOTO,22,031,LA 
71061,Oil City,Louisiana ,CADDO,22,017,LA 
71058,Minden,Louisiana ,WEBSTER,22,119,LA 
71063,Pelican,Louisiana ,DE SOTO,22,031,LA 
71065,Pleasant Hill,Louisiana ,SABINE,22,085,LA 
71064,Plain Dealing,Louisiana ,BOSSIER,22,015,LA 
71066,Powhatan,Louisiana ,NATCHITOCHES,22,069,LA 
71067,Princeton,Louisiana ,BOSSIER,22,015,LA 
71068,Ringgold,Louisiana ,BIENVILLE,22,013,LA 
71069,Rodessa,Louisiana ,CADDO,22,017,LA 
71070,Saline,Louisiana ,BIENVILLE,22,013,LA 
71072,Shongaloo,Louisiana ,WEBSTER,22,119,LA 
71073,Sibley,Louisiana ,WEBSTER,22,119,LA 
71071,Sarepta,Louisiana ,WEBSTER,22,119,LA 
71078,Stonewall,Louisiana ,DE SOTO,22,031,LA 
71075,Springhill,Louisiana ,WEBSTER,22,119,LA 
71079,Summerfield,Louisiana ,CLAIBORNE,22,027,LA 
71080,Taylor,Louisiana ,BIENVILLE,22,013,LA 
71101,Shreveport,Louisiana ,CADDO,22,017,LA 
71103,Shreveport,Louisiana ,CADDO,22,017,LA 
71102,Shreveport,Louisiana ,CADDO,22,017,LA 
71082,Vivian,Louisiana ,CADDO,22,017,LA 
71105,Shreveport,Louisiana ,CADDO,22,017,LA 
71106,Shreveport,Louisiana ,CADDO,22,017,LA 
71104,Shreveport,Louisiana ,CADDO,22,017,LA 
71108,Shreveport,Louisiana ,CADDO,22,017,LA 
71110,Barksdale AFB,Louisiana ,BOSSIER,22,015,LA 
71109,Shreveport,Louisiana ,CADDO,22,017,LA 
71107,Shreveport,Louisiana ,CADDO,22,017,LA 
71111,Bossier City,Louisiana ,BOSSIER,22,015,LA 
71112,Bossier City,Louisiana ,BOSSIER,22,015,LA 
71113,Bossier City,Louisiana ,BOSSIER,22,015,LA 
71115,Shreveport,Louisiana ,CADDO,22,017,LA 
71119,Shreveport,Louisiana ,CADDO,22,017,LA 
71118,Shreveport,Louisiana ,CADDO,22,017,LA 
71133,Shreveport,Louisiana ,CADDO,22,017,LA 
71130,Shreveport,Louisiana ,CADDO,22,017,LA 
71129,Shreveport,Louisiana ,CADDO,22,017,LA 
71120,Shreveport,Louisiana ,CADDO,22,017,LA 
71135,Shreveport,Louisiana ,CADDO,22,017,LA 
71134,Shreveport,Louisiana ,CADDO,22,017,LA 
71137,Shreveport,Louisiana ,CADDO,22,017,LA 
71138,Shreveport,Louisiana ,CADDO,22,017,LA 
71149,Shreveport,Louisiana ,CADDO,22,017,LA 
71150,Shreveport,Louisiana ,CADDO,22,017,LA 
71148,Shreveport,Louisiana ,CADDO,22,017,LA 
71151,Shreveport,Louisiana ,CADDO,22,017,LA 
71152,Shreveport,Louisiana ,CADDO,22,017,LA 
71136,Shreveport,Louisiana ,CADDO,22,017,LA 
71156,Shreveport,Louisiana ,CADDO,22,017,LA 
71162,Shreveport,Louisiana ,CADDO,22,017,LA 
71153,Shreveport,Louisiana ,CADDO,22,017,LA 
71154,Shreveport,Louisiana ,CADDO,22,017,LA 
71163,Shreveport,Louisiana ,CADDO,22,017,LA 
71164,Shreveport,Louisiana ,CADDO,22,017,LA 
71165,Shreveport,Louisiana ,CADDO,22,017,LA 
71161,Shreveport,Louisiana ,CADDO,22,017,LA 
71172,Bossier City,Louisiana ,BOSSIER,22,015,LA 
71166,Shreveport,Louisiana ,CADDO,22,017,LA 
71202,Monroe,Louisiana ,OUACHITA,22,073,LA 
71203,Monroe,Louisiana ,OUACHITA,22,073,LA 
71171,Bossier City,Louisiana ,BOSSIER,22,015,LA 
71201,Monroe,Louisiana ,OUACHITA,22,073,LA 
71207,Monroe,Louisiana ,OUACHITA,22,073,LA 
71209,Monroe,Louisiana ,OUACHITA,22,073,LA 
71211,Monroe,Louisiana ,OUACHITA,22,073,LA 
71210,Monroe,Louisiana ,OUACHITA,22,073,LA 
71213,Monroe,Louisiana ,OUACHITA,22,073,LA 
71212,Monroe,Louisiana ,OUACHITA,22,073,LA 
71219,Baskin,Louisiana ,FRANKLIN,22,041,LA 
71217,Monroe,Louisiana ,OUACHITA,22,073,LA 
71218,Archibald,Louisiana ,RICHLAND,22,083,LA 
71220,Bastrop,Louisiana ,MOREHOUSE,22,067,LA 
71221,Bastrop,Louisiana ,MOREHOUSE,22,067,LA 
71222,Bernice,Louisiana ,UNION,22,111,LA 
71225,Calhoun,Louisiana ,OUACHITA,22,073,LA 
71227,Choudrant,Louisiana ,LINCOLN,22,061,LA 
71223,Bonita,Louisiana ,MOREHOUSE,22,067,LA 
71226,Chatham,Louisiana ,JACKSON,22,049,LA 
71230,Crowville,Louisiana ,FRANKLIN,22,041,LA 
71229,Collinston,Louisiana ,MOREHOUSE,22,067,LA 
71232,Delhi,Louisiana ,RICHLAND,22,083,LA 
71233,Delta,Louisiana ,MADISON,22,065,LA 
71234,Downsville,Louisiana ,UNION,22,111,LA 
71237,Epps,Louisiana ,WEST CARROLL,22,123,LA 
71240,Fairbanks,Louisiana ,OUACHITA,22,073,LA 
71238,Eros,Louisiana ,OUACHITA,22,073,LA 
71241,Farmerville,Louisiana ,UNION,22,111,LA 
71242,Forest,Louisiana ,WEST CARROLL,22,123,LA 
71243,Fort Necessity,Louisiana ,FRANKLIN,22,041,LA 
71235,Dubach,Louisiana ,LINCOLN,22,061,LA 
71247,Hodge,Louisiana ,JACKSON,22,049,LA 
71245,Grambling,Louisiana ,LINCOLN,22,061,LA 
71251,Jonesboro,Louisiana ,JACKSON,22,049,LA 
71254,Lake Providence,Louisiana ,EAST CARROLL,22,035,LA 
71250,Jones,Louisiana ,MOREHOUSE,22,067,LA 
71253,Kilbourne,Louisiana ,WEST CARROLL,22,123,LA 
71249,Jigger,Louisiana ,FRANKLIN,22,041,LA 
71256,Lillie,Louisiana ,UNION,22,111,LA 
71260,Marion,Louisiana ,UNION,22,111,LA 
71259,Mangham,Louisiana ,RICHLAND,22,083,LA 
71261,Mer Rouge,Louisiana ,MOREHOUSE,22,067,LA 
71263,Oak Grove,Louisiana ,WEST CARROLL,22,123,LA 
71268,Quitman,Louisiana ,JACKSON,22,049,LA 
71264,Oak Ridge,Louisiana ,MOREHOUSE,22,067,LA 
71270,Ruston,Louisiana ,LINCOLN,22,061,LA 
71272,Ruston,Louisiana ,LINCOLN,22,061,LA 
71269,Rayville,Louisiana ,RICHLAND,22,083,LA 
71275,Simsboro,Louisiana ,LINCOLN,22,061,LA 
71273,Ruston,Louisiana ,LINCOLN,22,061,LA 
71266,Pioneer,Louisiana ,WEST CARROLL,22,123,LA 
71276,Sondheimer,Louisiana ,EAST CARROLL,22,035,LA 
71280,Sterlington,Louisiana ,OUACHITA,22,073,LA 
71277,Spearsville,Louisiana ,UNION,22,111,LA 
71279,Start,Louisiana ,RICHLAND,22,083,LA 
71281,Swartz,Louisiana ,OUACHITA,22,073,LA 
71282,Tallulah,Louisiana ,MADISON,22,065,LA 
71284,Tallulah,Louisiana ,MADISON,22,065,LA 
71286,Transylvania,Louisiana ,EAST CARROLL,22,035,LA 
71295,Winnsboro,Louisiana ,FRANKLIN,22,041,LA 
71291,West Monroe,Louisiana ,OUACHITA,22,073,LA 
71294,West Monroe,Louisiana ,OUACHITA,22,073,LA 
71301,Alexandria,Louisiana ,RAPIDES,22,079,LA 
71292,West Monroe,Louisiana ,OUACHITA,22,073,LA 
71302,Alexandria,Louisiana ,RAPIDES,22,079,LA 
71316,Acme,Louisiana ,CONCORDIA,22,029,LA 
71303,Alexandria,Louisiana ,RAPIDES,22,079,LA 
71315,Alexandria,Louisiana ,RAPIDES,22,079,LA 
71306,Alexandria,Louisiana ,RAPIDES,22,079,LA 
71320,Bordelonville,Louisiana ,AVOYELLES,22,009,LA 
71307,Alexandria,Louisiana ,RAPIDES,22,079,LA 
71309,Alexandria,Louisiana ,RAPIDES,22,079,LA 
71322,Bunkie,Louisiana ,AVOYELLES,22,009,LA 
71324,Chase,Louisiana ,FRANKLIN,22,041,LA 
71327,Cottonport,Louisiana ,AVOYELLES,22,009,LA 
71326,Clayton,Louisiana ,CONCORDIA,22,029,LA 
71323,Center Point,Louisiana ,AVOYELLES,22,009,LA 
71325,Cheneyville,Louisiana ,RAPIDES,22,079,LA 
71328,Deville,Louisiana ,RAPIDES,22,079,LA 
71329,Dupont,Louisiana ,AVOYELLES,22,009,LA 
71330,Echo,Louisiana ,RAPIDES,22,079,LA 
71331,Effie,Louisiana ,AVOYELLES,22,009,LA 
71333,Evergreen,Louisiana ,AVOYELLES,22,009,LA 
71340,Harrisonburg,Louisiana ,CATAHOULA,22,025,LA 
71339,Hamburg,Louisiana ,AVOYELLES,22,009,LA 
71334,Ferriday,Louisiana ,CONCORDIA,22,029,LA 
71336,Gilbert,Louisiana ,FRANKLIN,22,041,LA 
71341,Hessmer,Louisiana ,AVOYELLES,22,009,LA 
71342,Jena,Louisiana ,LA SALLE,22,059,LA 
71343,Jonesville,Louisiana ,CATAHOULA,22,025,LA 
71345,Lebeau,Louisiana ,SAINT LANDRY,22,097,LA 
71348,Libuse,Louisiana ,RAPIDES,22,079,LA 
71350,Mansura,Louisiana ,AVOYELLES,22,009,LA 
71351,Marksville,Louisiana ,AVOYELLES,22,009,LA 
71346,Lecompte,Louisiana ,RAPIDES,22,079,LA 
71353,Melville,Louisiana ,SAINT LANDRY,22,097,LA 
71354,Monterey,Louisiana ,CONCORDIA,22,029,LA 
71355,Moreauville,Louisiana ,AVOYELLES,22,009,LA 
71356,Morrow,Louisiana ,SAINT LANDRY,22,097,LA 
71357,Newellton,Louisiana ,TENSAS,22,107,LA 
71358,Palmetto,Louisiana ,SAINT LANDRY,22,097,LA 
71360,Pineville,Louisiana ,RAPIDES,22,079,LA 
71359,Pineville,Louisiana ,RAPIDES,22,079,LA 
71361,Pineville,Louisiana ,RAPIDES,22,079,LA 
71362,Plaucheville,Louisiana ,AVOYELLES,22,009,LA 
71363,Rhinehart,Louisiana ,CATAHOULA,22,025,LA 
71366,Saint Joseph,Louisiana ,TENSAS,22,107,LA 
71367,Saint Landry,Louisiana ,EVANGELINE,22,039,LA 
71365,Ruby,Louisiana ,RAPIDES,22,079,LA 
71373,Vidalia,Louisiana ,CONCORDIA,22,029,LA 
71371,Trout,Louisiana ,LA SALLE,22,059,LA 
71368,Sicily Island,Louisiana ,CATAHOULA,22,025,LA 
71375,Waterproof,Louisiana ,TENSAS,22,107,LA 
71369,Simmesport,Louisiana ,AVOYELLES,22,009,LA 
71377,Wildsville,Louisiana ,CONCORDIA,22,029,LA 
71378,Wisner,Louisiana ,FRANKLIN,22,041,LA 
71401,Aimwell,Louisiana ,CATAHOULA,22,025,LA 
71407,Bentley,Louisiana ,GRANT,22,043,LA 
71403,Anacoco,Louisiana ,VERNON,22,115,LA 
71406,Belmont,Louisiana ,SABINE,22,085,LA 
71404,Atlanta,Louisiana ,WINN,22,127,LA 
71405,Ball,Louisiana ,RAPIDES,22,079,LA 
71417,Colfax,Louisiana ,GRANT,22,043,LA 
71415,Clarks,Louisiana ,CALDWELL,22,021,LA 
71416,Cloutierville,Louisiana ,NATCHITOCHES,22,069,LA 
71410,Calvin,Louisiana ,WINN,22,127,LA 
71411,Campti,Louisiana ,NATCHITOCHES,22,069,LA 
71409,Boyce,Louisiana ,RAPIDES,22,079,LA 
71418,Columbia,Louisiana ,CALDWELL,22,021,LA 
71414,Clarence,Louisiana ,NATCHITOCHES,22,069,LA 
71427,Flatwoods,Louisiana ,RAPIDES,22,079,LA 
71419,Converse,Louisiana ,SABINE,22,085,LA 
71428,Flora,Louisiana ,NATCHITOCHES,22,069,LA 
71426,Fisher,Louisiana ,SABINE,22,085,LA 
71425,Enterprise,Louisiana ,CATAHOULA,22,025,LA 
71423,Dry Prong,Louisiana ,GRANT,22,043,LA 
71424,Elmer,Louisiana ,RAPIDES,22,079,LA 
71422,Dodson,Louisiana ,WINN,22,127,LA 
71429,Florien,Louisiana ,SABINE,22,085,LA 
71430,Forest Hill,Louisiana ,RAPIDES,22,079,LA 
71431,Gardner,Louisiana ,RAPIDES,22,079,LA 
71432,Georgetown,Louisiana ,GRANT,22,043,LA 
71438,Hineston,Louisiana ,RAPIDES,22,079,LA 
71433,Glenmora,Louisiana ,RAPIDES,22,079,LA 
71435,Grayson,Louisiana ,CALDWELL,22,021,LA 
71434,Gorum,Louisiana ,NATCHITOCHES,22,069,LA 
71443,Kurthwood,Louisiana ,VERNON,22,115,LA 
71447,Lena,Louisiana ,RAPIDES,22,079,LA 
71439,Hornbeck,Louisiana ,VERNON,22,115,LA 
71448,Longleaf,Louisiana ,RAPIDES,22,079,LA 
71446,Leesville,Louisiana ,VERNON,22,115,LA 
71441,Kelly,Louisiana ,CALDWELL,22,021,LA 
71440,Joyce,Louisiana ,WINN,22,127,LA 
71449,Many,Louisiana ,SABINE,22,085,LA 
71452,Melrose,Louisiana ,NATCHITOCHES,22,069,LA 
71454,Montgomery,Louisiana ,GRANT,22,043,LA 
71450,Marthaville,Louisiana ,NATCHITOCHES,22,069,LA 
71455,Mora,Louisiana ,RAPIDES,22,079,LA 
71458,Natchitoches,Louisiana ,NATCHITOCHES,22,069,LA 
71456,Natchez,Louisiana ,NATCHITOCHES,22,069,LA 
71459,Fort Polk,Louisiana ,VERNON,22,115,LA 
71457,Natchitoches,Louisiana ,NATCHITOCHES,22,069,LA 
71460,Negreet,Louisiana ,SABINE,22,085,LA 
71465,Olla,Louisiana ,LA SALLE,22,059,LA 
71466,Otis,Louisiana ,RAPIDES,22,079,LA 
71462,Noble,Louisiana ,SABINE,22,085,LA 
71461,New Llano,Louisiana ,VERNON,22,115,LA 
71468,Provencal,Louisiana ,NATCHITOCHES,22,069,LA 
71463,Oakdale,Louisiana ,ALLEN,22,003,LA 
71467,Pollock,Louisiana ,GRANT,22,043,LA 
71469,Robeline,Louisiana ,NATCHITOCHES,22,069,LA 
71471,Saint Maurice,Louisiana ,WINN,22,127,LA 
71472,Sieper,Louisiana ,RAPIDES,22,079,LA 
71473,Sikes,Louisiana ,WINN,22,127,LA 
71474,Simpson,Louisiana ,VERNON,22,115,LA 
71477,Tioga,Louisiana ,RAPIDES,22,079,LA 
71479,Tullos,Louisiana ,LA SALLE,22,059,LA 
71480,Urania,Louisiana ,LA SALLE,22,059,LA 
71483,Winnfield,Louisiana ,WINN,22,127,LA 
71475,Slagle,Louisiana ,VERNON,22,115,LA 
71497,Natchitoches,Louisiana ,NATCHITOCHES,22,069,LA 
71486,Zwolle,Louisiana ,SABINE,22,085,LA 
71496,Leesville,Louisiana ,VERNON,22,115,LA 
71485,Woodworth,Louisiana ,RAPIDES,22,079,LA 
