02801,Adamsville,Rhode Island ,NEWPORT,44,005,RI 
02806,Barrington,Rhode Island ,BRISTOL,44,001,RI 
02804,Ashaway,Rhode Island ,WASHINGTON,44,009,RI 
02812,Carolina,Rhode Island ,WASHINGTON,44,009,RI 
02808,Bradford,Rhode Island ,WASHINGTON,44,009,RI 
02807,Block Island,Rhode Island ,WASHINGTON,44,009,RI 
02802,Albion,Rhode Island ,PROVIDENCE,44,007,RI 
02809,Bristol,Rhode Island ,BRISTOL,44,001,RI 
02813,Charlestown,Rhode Island ,WASHINGTON,44,009,RI 
02814,Chepachet,Rhode Island ,PROVIDENCE,44,007,RI 
02817,West Greenwich,Rhode Island ,KENT,44,003,RI 
02816,Coventry,Rhode Island ,KENT,44,003,RI 
02818,East Greenwich,Rhode Island ,KENT,44,003,RI 
02815,Clayville,Rhode Island ,PROVIDENCE,44,007,RI 
02822,Exeter,Rhode Island ,WASHINGTON,44,009,RI 
02823,Fiskeville,Rhode Island ,PROVIDENCE,44,007,RI 
02824,Forestdale,Rhode Island ,PROVIDENCE,44,007,RI 
02825,Foster,Rhode Island ,PROVIDENCE,44,007,RI 
02827,Greene,Rhode Island ,KENT,44,003,RI 
02826,Glendale,Rhode Island ,PROVIDENCE,44,007,RI 
02830,Harrisville,Rhode Island ,PROVIDENCE,44,007,RI 
02831,Hope,Rhode Island ,PROVIDENCE,44,007,RI 
02828,Greenville,Rhode Island ,PROVIDENCE,44,007,RI 
02832,Hope Valley,Rhode Island ,WASHINGTON,44,009,RI 
02829,Harmony,Rhode Island ,PROVIDENCE,44,007,RI 
02835,Jamestown,Rhode Island ,NEWPORT,44,005,RI 
02833,Hopkinton,Rhode Island ,WASHINGTON,44,009,RI 
02836,Kenyon,Rhode Island ,WASHINGTON,44,009,RI 
02837,Little Compton,Rhode Island ,NEWPORT,44,005,RI 
02840,Newport,Rhode Island ,NEWPORT,44,005,RI 
02838,Manville,Rhode Island ,PROVIDENCE,44,007,RI 
02841,Newport,Rhode Island ,NEWPORT,44,005,RI 
02842,Middletown,Rhode Island ,NEWPORT,44,005,RI 
02839,Mapleville,Rhode Island ,PROVIDENCE,44,007,RI 
02852,North Kingstown,Rhode Island ,WASHINGTON,44,009,RI 
02857,North Scituate,Rhode Island ,PROVIDENCE,44,007,RI 
02858,Oakland,Rhode Island ,PROVIDENCE,44,007,RI 
02860,Pawtucket,Rhode Island ,PROVIDENCE,44,007,RI 
02859,Pascoag,Rhode Island ,PROVIDENCE,44,007,RI 
02861,Pawtucket,Rhode Island ,PROVIDENCE,44,007,RI 
02863,Central Falls,Rhode Island ,PROVIDENCE,44,007,RI 
02862,Pawtucket,Rhode Island ,PROVIDENCE,44,007,RI 
02864,Cumberland,Rhode Island ,PROVIDENCE,44,007,RI 
02865,Lincoln,Rhode Island ,PROVIDENCE,44,007,RI 
02871,Portsmouth,Rhode Island ,NEWPORT,44,005,RI 
02874,Saunderstown,Rhode Island ,WASHINGTON,44,009,RI 
02873,Rockville,Rhode Island ,WASHINGTON,44,009,RI 
02872,Prudence Island,Rhode Island ,BRISTOL,44,001,RI 
02876,Slatersville,Rhode Island ,PROVIDENCE,44,007,RI 
02875,Shannock,Rhode Island ,WASHINGTON,44,009,RI 
02877,Slocum,Rhode Island ,WASHINGTON,44,009,RI 
02878,Tiverton,Rhode Island ,NEWPORT,44,005,RI 
02879,Wakefield,Rhode Island ,WASHINGTON,44,009,RI 
02880,Wakefield,Rhode Island ,WASHINGTON,44,009,RI 
02882,Narragansett,Rhode Island ,WASHINGTON,44,009,RI 
02881,Kingston,Rhode Island ,WASHINGTON,44,009,RI 
02883,Peace Dale,Rhode Island ,WASHINGTON,44,009,RI 
02886,Warwick,Rhode Island ,KENT,44,003,RI 
02887,Warwick,Rhode Island ,KENT,44,003,RI 
02885,Warren,Rhode Island ,BRISTOL,44,001,RI 
02888,Warwick,Rhode Island ,KENT,44,003,RI 
02889,Warwick,Rhode Island ,KENT,44,003,RI 
02891,Westerly,Rhode Island ,WASHINGTON,44,009,RI 
02892,West Kingston,Rhode Island ,WASHINGTON,44,009,RI 
02893,West Warwick,Rhode Island ,KENT,44,003,RI 
02896,North Smithfield,Rhode Island ,PROVIDENCE,44,007,RI 
02894,Wood River Junction,Rhode Island ,WASHINGTON,44,009,RI 
02895,Woonsocket,Rhode Island ,PROVIDENCE,44,007,RI 
02898,Wyoming,Rhode Island ,WASHINGTON,44,009,RI 
02903,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02902,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02901,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02904,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02905,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02906,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02907,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02908,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02910,Cranston,Rhode Island ,PROVIDENCE,44,007,RI 
02911,North Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02909,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02912,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02914,East Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02915,Riverside,Rhode Island ,PROVIDENCE,44,007,RI 
02916,Rumford,Rhode Island ,PROVIDENCE,44,007,RI 
02917,Smithfield,Rhode Island ,PROVIDENCE,44,007,RI 
02940,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02920,Cranston,Rhode Island ,PROVIDENCE,44,007,RI 
02919,Johnston,Rhode Island ,PROVIDENCE,44,007,RI 
02918,Providence,Rhode Island ,PROVIDENCE,44,007,RI 
02921,Cranston,Rhode Island ,PROVIDENCE,44,007,RI 
